Instance,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49
Antwerp1.txt,490866,490880,490570,491188,490775,490146,490688,490497,490292,490622,490722,490248,489890,490726,489796,490317,491067,490239,491410,489643,489872,491524,490856,491606,490150,490044,490648,490131,491730,490195,490297,490084,490181,491054,490931,489762,491306,490797,490309,489858,490456,491534,491286,490710,491125,490451,491304,490017,490247,490512
Antwerp2.txt,306253,307635,306748,305920,306540,306086,305581,306545,306547,307047,306811,306030,306625,306086,306798,306123,306521,306484,306598,306064,305749,306172,306221,307111,306891,307027,305903,306228,306367,306841,307451,306847,305908,306368,307072,306612,306524,307136,306671,306797,306729,306735,307365,307298,306464,306628,306169,306270,306274,306761
Brussels1.txt,525094,525540,525260,525529,524832,526219,525709,524518,524901,524962,524514,525559,525144,524563,525370,526057,524980,526345,524478,525038,525954,525016,525355,524986,524347,525436,524895,525625,525517,525181,524997,525372,525313,525325,525425,525362,525296,525577,525060,525028,524937,525827,525341,525608,525627,524857,525184,525455,525337,525910
Brussels2.txt,370729,369870,371142,370357,370828,369710,370887,370666,369505,370084,370638,370451,370328,370803,370282,370909,369169,369819,371318,370212,370798,370572,369668,371131,369975,370701,369800,370006,370069,369530,370492,370561,370111,370426,369907,371391,369922,369771,369489,370553,370524,369315,369516,370801,369963,371159,370309,370052,370062,370417
Flanders1.txt,7496292,7496256,7496230,7496345,7496345,7496335,7496193,7496328,7496169,7496320,7496334,7496345,7496336,7496345,7496345,7496324,7496345,7496345,7496154,7496275,7496345,7496295,7496308,7496345,7496345,7496345,7496252,7496305,7496345,7496084,7496345,7496345,7496317,7496345,7496327,7496345,7496345,7496323,7496345,7496340,7496266,7496345,7496272,7496324,7496340,7496197,7496014,7496320,7496239,7496304
Flanders2.txt,4731104,4718957,4713157,4724189,4717752,4728062,4718522,4705725,4719103,4723513,4717882,4713279,4723725,4721674,4715954,4724870,4723347,4722494,4715294,4717344,4719608,4741075,4725982,4710173,4720799,4730042,4723764,4719963,4713353,4715968,4717681,4704123,4705590,4710620,4731199,4716898,4732581,4710478,4720655,4723237,4719007,4718450,4727306,4725969,4722441,4717600,4720326,4714471,4718850,4714496
Ghent1.txt,485047,486406,485613,485923,486510,485853,485166,485544,485571,485034,484798,485675,486129,485999,485309,485432,484925,484879,484987,485448,485246,485860,485236,486224,485840,486173,485153,485172,485284,485372,485339,485400,485527,485143,484958,485729,485306,485664,486245,486384,484848,485902,485454,486478,485435,486279,485587,485838,485699,486034
Ghent2.txt,275023,275877,274663,275036,275421,275334,275305,274408,275177,274888,275584,275204,275524,274917,275001,274970,275292,275364,275467,274863,274874,275493,275552,275213,275222,274763,275030,274885,275169,274400,275008,275316,274787,275655,275524,275347,275302,274768,274905,274353,274299,275285,274911,275514,275046,275060,275310,274587,275324,274615
Leuven1.txt,196968,196813,196311,196817,196935,196401,197028,197132,196469,196739,196897,196561,197070,196562,197243,196628,196850,196792,196870,196764,196709,196900,196615,196799,196768,196736,197044,196802,196679,196538,196902,196413,196601,196344,196526,196560,196290,196391,196477,196931,196626,196960,196659,196614,196830,196696,196683,196871,196551,196833
Leuven2.txt,117137,116979,116551,116852,116770,117050,117440,116847,117097,115804,115924,115945,115879,116549,117008,117096,117488,116974,116546,116882,115896,115653,116699,117220,116999,116465,116783,116111,116698,116905,116683,116553,116750,116455,116589,116758,115996,115993,116818,116436,116246,117037,115973,116318,116402,116334,116470,116568,116700,117546
Instance,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49
Antwerp1.txt,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Antwerp2.txt,15,14,14,14,16,15,15,16,15,18,16,17,15,16,14,16,17,15,15,16,15,16,14,15,15,15,15,14,15,15,17,15,15,17,14,15,14,14,16,15,15,16,16,15,14,15,15,15,15,16
Brussels1.txt,42,36,37,40,36,37,38,37,37,36,37,37,38,36,36,37,39,37,38,37,36,36,37,36,37,38,36,36,36,36,37,36,36,41,39,40,37,37,36,37,36,36,37,36,36,36,38,36,38,37
Brussels2.txt,62,69,60,65,59,61,57,63,58,60,64,60,64,59,62,64,66,60,62,64,58,64,62,60,67,63,67,61,66,67,61,64,64,63,67,63,65,60,63,62,61,69,60,59,67,59,69,66,67,62
Flanders1.txt,60,59,61,60,59,58,61,60,60,60,59,59,62,64,65,59,65,63,67,58,58,58,59,61,59,57,60,58,58,60,60,62,60,60,59,63,59,57,62,57,59,59,60,58,59,61,59,58,62,59
Flanders2.txt,151,168,188,174,197,150,171,179,174,164,184,169,155,185,180,158,159,163,189,161,189,139,174,190,201,158,153,163,159,160,163,191,205,195,163,168,157,157,169,168,157,179,159,161,179,156,188,159,164,179
Ghent1.txt,21,21,20,20,21,20,20,21,21,21,21,20,20,21,21,20,22,21,21,20,20,20,21,21,21,21,22,21,21,21,20,20,21,20,21,21,21,21,22,20,21,20,22,20,21,20,21,21,20,21
Ghent2.txt,37,32,41,38,37,35,35,41,36,37,39,36,34,36,39,37,38,37,35,31,37,35,36,35,36,34,39,38,36,36,38,37,36,32,38,37,35,39,36,40,35,35,37,35,36,34,34,34,37,37
Leuven1.txt,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,4
Leuven2.txt,18,11,14,18,12,16,16,16,16,17,17,25,20,12,15,14,15,17,19,21,21,23,17,16,16,16,14,19,13,17,19,18,21,16,23,17,21,18,17,15,17,20,17,21,18,16,16,15,16,14
